row,col,R,G,B,R_norm,G_norm,B_norm,brightness
0,0,255,255,255,1.0,1.0,1.0,light
0,1,255,255,255,1.0,1.0,1.0,light
0,2,255,255,255,1.0,1.0,1.0,light
0,3,255,255,255,1.0,1.0,1.0,light
0,4,255,255,255,1.0,1.0,1.0,light
0,5,255,255,255,1.0,1.0,1.0,light
0,6,255,255,255,1.0,1.0,1.0,light
0,7,255,255,255,1.0,1.0,1.0,light
0,8,255,255,255,1.0,1.0,1.0,light
0,9,255,255,255,1.0,1.0,1.0,light
0,10,255,255,255,1.0,1.0,1.0,light
0,11,255,255,255,1.0,1.0,1.0,light
0,12,255,255,255,1.0,1.0,1.0,light
0,13,255,255,255,1.0,1.0,1.0,light
0,14,255,255,255,1.0,1.0,1.0,light
0,15,255,255,255,1.0,1.0,1.0,light
0,16,255,255,255,1.0,1.0,1.0,light
0,17,255,255,255,1.0,1.0,1.0,light
0,18,255,255,255,1.0,1.0,1.0,light
0,19,255,255,255,1.0,1.0,1.0,light
0,20,255,255,255,1.0,1.0,1.0,light
0,21,255,255,255,1.0,1.0,1.0,light
0,22,255,255,255,1.0,1.0,1.0,light
0,23,255,255,255,1.0,1.0,1.0,light
0,24,255,255,255,1.0,1.0,1.0,light
0,25,255,255,255,1.0,1.0,1.0,light
0,26,255,255,255,1.0,1.0,1.0,light
0,27,255,255,255,1.0,1.0,1.0,light
0,28,255,255,255,1.0,1.0,1.0,light
0,29,255,255,255,1.0,1.0,1.0,light
0,30,255,255,255,1.0,1.0,1.0,light
0,31,255,255,255,1.0,1.0,1.0,light
0,32,255,255,255,1.0,1.0,1.0,light
0,33,255,255,255,1.0,1.0,1.0,light
0,34,255,255,255,1.0,1.0,1.0,light
0,35,255,255,255,1.0,1.0,1.0,light
0,36,255,255,255,1.0,1.0,1.0,light
0,37,255,255,255,1.0,1.0,1.0,light
0,38,255,255,255,1.0,1.0,1.0,light
0,39,255,255,255,1.0,1.0,1.0,light
0,40,255,255,255,1.0,1.0,1.0,light
0,41,255,255,255,1.0,1.0,1.0,light
0,42,255,255,255,1.0,1.0,1.0,light
0,43,255,255,255,1.0,1.0,1.0,light
0,44,255,255,255,1.0,1.0,1.0,light
0,45,255,255,255,1.0,1.0,1.0,light
0,46,255,255,255,1.0,1.0,1.0,light
0,47,255,255,255,1.0,1.0,1.0,light
0,48,255,255,255,1.0,1.0,1.0,light
0,49,255,255,255,1.0,1.0,1.0,light
0,50,255,255,255,1.0,1.0,1.0,light
0,51,255,255,255,1.0,1.0,1.0,light
0,52,255,255,255,1.0,1.0,1.0,light
0,53,255,255,255,1.0,1.0,1.0,light
0,54,255,255,255,1.0,1.0,1.0,light
0,55,255,255,255,1.0,1.0,1.0,light
0,56,255,255,255,1.0,1.0,1.0,light
0,57,255,255,255,1.0,1.0,1.0,light
0,58,255,255,255,1.0,1.0,1.0,light
0,59,255,255,255,1.0,1.0,1.0,light
0,60,255,255,255,1.0,1.0,1.0,light
0,61,255,255,255,1.0,1.0,1.0,light
0,62,255,255,255,1.0,1.0,1.0,light
0,63,255,255,255,1.0,1.0,1.0,light
0,64,255,255,255,1.0,1.0,1.0,light
0,65,255,255,255,1.0,1.0,1.0,light
0,66,255,255,255,1.0,1.0,1.0,light
0,67,255,255,255,1.0,1.0,1.0,light
0,68,255,255,255,1.0,1.0,1.0,light
0,69,255,255,255,1.0,1.0,1.0,light
0,70,255,255,255,1.0,1.0,1.0,light
0,71,255,255,255,1.0,1.0,1.0,light
0,72,255,255,255,1.0,1.0,1.0,light
0,73,255,255,255,1.0,1.0,1.0,light
0,74,255,255,255,1.0,1.0,1.0,light
0,75,255,255,255,1.0,1.0,1.0,light
0,76,255,255,255,1.0,1.0,1.0,light
0,77,255,255,255,1.0,1.0,1.0,light
0,78,255,255,255,1.0,1.0,1.0,light
0,79,255,255,255,1.0,1.0,1.0,light
0,80,255,255,255,1.0,1.0,1.0,light
0,81,255,255,255,1.0,1.0,1.0,light
0,82,255,255,255,1.0,1.0,1.0,light
0,83,255,255,255,1.0,1.0,1.0,light
0,84,255,255,255,1.0,1.0,1.0,light
0,85,255,255,255,1.0,1.0,1.0,light
0,86,255,255,255,1.0,1.0,1.0,light
0,87,255,255,255,1.0,1.0,1.0,light
0,88,255,255,255,1.0,1.0,1.0,light
0,89,255,255,255,1.0,1.0,1.0,light
0,90,255,255,255,1.0,1.0,1.0,light
0,91,255,255,255,1.0,1.0,1.0,light
0,92,255,255,255,1.0,1.0,1.0,light
0,93,255,255,255,1.0,1.0,1.0,light
0,94,255,255,255,1.0,1.0,1.0,light
0,95,255,255,255,1.0,1.0,1.0,light
0,96,255,255,255,1.0,1.0,1.0,light
0,97,255,255,255,1.0,1.0,1.0,light
0,98,255,255,255,1.0,1.0,1.0,light
0,99,255,255,255,1.0,1.0,1.0,light
0,100,255,255,255,1.0,1.0,1.0,light
0,101,255,255,255,1.0,1.0,1.0,light
0,102,255,255,255,1.0,1.0,1.0,light
0,103,255,255,255,1.0,1.0,1.0,light
0,104,255,255,255,1.0,1.0,1.0,light
0,105,255,255,255,1.0,1.0,1.0,light
0,106,255,255,255,1.0,1.0,1.0,light
0,107,255,255,255,1.0,1.0,1.0,light
0,108,255,255,255,1.0,1.0,1.0,light
0,109,255,255,255,1.0,1.0,1.0,light
0,110,255,255,255,1.0,1.0,1.0,light
0,111,255,255,255,1.0,1.0,1.0,light
0,112,255,255,255,1.0,1.0,1.0,light
0,113,255,255,255,1.0,1.0,1.0,light
0,114,255,255,255,1.0,1.0,1.0,light
0,115,255,255,255,1.0,1.0,1.0,light
0,116,255,255,255,1.0,1.0,1.0,light
0,117,255,255,255,1.0,1.0,1.0,light
0,118,255,255,255,1.0,1.0,1.0,light
0,119,255,255,255,1.0,1.0,1.0,light
0,120,255,255,255,1.0,1.0,1.0,light
0,121,255,255,255,1.0,1.0,1.0,light
0,122,255,255,255,1.0,1.0,1.0,light
0,123,255,255,255,1.0,1.0,1.0,light
0,124,255,255,255,1.0,1.0,1.0,light
0,125,255,255,255,1.0,1.0,1.0,light
0,126,255,255,255,1.0,1.0,1.0,light
0,127,255,255,255,1.0,1.0,1.0,light
1,0,255,255,255,1.0,1.0,1.0,light
1,1,255,255,255,1.0,1.0,1.0,light
1,2,255,255,255,1.0,1.0,1.0,light
1,3,255,255,255,1.0,1.0,1.0,light
1,4,255,255,255,1.0,1.0,1.0,light
1,5,255,255,255,1.0,1.0,1.0,light
1,6,255,255,255,1.0,1.0,1.0,light
1,7,255,255,255,1.0,1.0,1.0,light
1,8,255,255,255,1.0,1.0,1.0,light
1,9,255,255,255,1.0,1.0,1.0,light
1,10,255,255,255,1.0,1.0,1.0,light
1,11,255,255,255,1.0,1.0,1.0,light
1,12,255,255,255,1.0,1.0,1.0,light
1,13,255,255,255,1.0,1.0,1.0,light
1,14,255,255,255,1.0,1.0,1.0,light
1,15,255,255,255,1.0,1.0,1.0,light
1,16,255,255,255,1.0,1.0,1.0,light
1,17,255,255,255,1.0,1.0,1.0,light
1,18,255,255,255,1.0,1.0,1.0,light
1,19,255,255,255,1.0,1.0,1.0,light
1,20,255,255,255,1.0,1.0,1.0,light
1,21,255,255,255,1.0,1.0,1.0,light
1,22,255,255,255,1.0,1.0,1.0,light
1,23,255,255,255,1.0,1.0,1.0,light
1,24,255,255,255,1.0,1.0,1.0,light
1,25,255,255,255,1.0,1.0,1.0,light
1,26,255,255,255,1.0,1.0,1.0,light
1,27,255,255,255,1.0,1.0,1.0,light
1,28,255,255,255,1.0,1.0,1.0,light
1,29,255,255,255,1.0,1.0,1.0,light
1,30,255,255,255,1.0,1.0,1.0,light
1,31,255,255,255,1.0,1.0,1.0,light
1,32,255,255,255,1.0,1.0,1.0,light
1,33,255,255,255,1.0,1.0,1.0,light
1,34,255,255,255,1.0,1.0,1.0,light
1,35,255,255,255,1.0,1.0,1.0,light
1,36,255,255,255,1.0,1.0,1.0,light
1,37,255,255,255,1.0,1.0,1.0,light
1,38,255,255,255,1.0,1.0,1.0,light
1,39,255,255,255,1.0,1.0,1.0,light
1,40,255,255,255,1.0,1.0,1.0,light
1,41,255,255,255,1.0,1.0,1.0,light
1,42,255,255,255,1.0,1.0,1.0,light
1,43,255,255,255,1.0,1.0,1.0,light
1,44,255,255,255,1.0,1.0,1.0,light
1,45,255,255,255,1.0,1.0,1.0,light
1,46,255,255,255,1.0,1.0,1.0,light
1,47,255,255,255,1.0,1.0,1.0,light
1,48,255,255,255,1.0,1.0,1.0,light
1,49,255,255,255,1.0,1.0,1.0,light
1,50,255,255,255,1.0,1.0,1.0,light
1,51,255,255,255,1.0,1.0,1.0,light
1,52,255,255,255,1.0,1.0,1.0,light
1,53,255,255,255,1.0,1.0,1.0,light
1,54,255,255,255,1.0,1.0,1.0,light
1,55,255,255,255,1.0,1.0,1.0,light
1,56,255,255,255,1.0,1.0,1.0,light
1,57,255,255,255,1.0,1.0,1.0,light
