row,col,R,G,B,R_norm,G_norm,B_norm,brightness,R_minmax,G_minmax,B_minmax
0,0,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,1,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,2,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,3,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,4,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,5,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,6,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,7,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,8,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,9,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,10,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,11,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,12,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,13,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,14,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,15,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,16,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,17,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,18,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,19,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,20,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,21,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,22,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,23,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,24,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,25,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,26,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,27,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,28,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,29,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,30,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,31,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,32,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,33,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,34,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
